"matricula" "media" "periodo" "posicao"
"104110023" "7.45" "041" "1"
"104210032" "6.65" "042" "1"
"105110107" "7.65" "051" "1"
"105210141" "7.05" "052" "1"
"105210138" "6.68" "052" "2"
"105210131" "6.08" "052" "3"
"105210160" "6.08" "052" "4"
"106110138" "7.6" "061" "1"
"106110125" "7.4" "061" "2"
"106110145" "6.58" "061" "3"
"106110120" "0" "061" "4"
"106210599" "9.25" "062" "1"
"106210167" "8.55" "062" "2"
"106210147" "8.5" "062" "3"
"106210166" "8.27" "062" "4"
"106210598" "8.04" "062" "5"
"106210601" "7.88" "062" "6"
"106210158" "7.7" "062" "7"
"106210162" "7.69" "062" "8"
"106210165" "7.42" "062" "9"
"106210600" "7.41" "062" "10"
"106210596" "7.28" "062" "11"
"106210157" "7.19" "062" "12"
"106210176" "6.89" "062" "13"
"106210159" "6.8" "062" "14"
"106210151" "6.43" "062" "15"
"107110028" "8.88" "071" "1"
"107110012" "8.74" "071" "2"
"107110436" "8.56" "071" "3"
"107110031" "8.5" "071" "4"
"107110016" "8.45" "071" "5"
"107110035" "8.4" "071" "6"
"107110005" "8.25" "071" "7"
"107110014" "8.22" "071" "8"
"107110021" "8.21" "071" "9"
"107110025" "8.15" "071" "10"
"107110001" "8" "071" "11"
