disciplina,media,questao,posicao
287555,3.17,Q1,6
287555,3.17,Q2,3
287555,3.33,Q3,2
287555,2.83,Q4,7
287555,3.17,Q5,2
287555,2.5,Q6,7
287555,3.5,Q7,2
287555,3.17,Q8,6
287555,3.17,Q9,3
287555,4,Q10,2
287555,1.67,Q11,7
287555,3.5,Q12,2
287555,2.5,Q13,7
527854,3.2,Q1,4
527854,2.93,Q2,7
527854,2.6,Q3,5
527854,3.13,Q4,3
527854,2.87,Q5,5
527854,2.67,Q6,5
527854,2.8,Q7,6
527854,3.4,Q8,4
527854,3.07,Q9,6
527854,2.67,Q10,6
527854,2.73,Q11,4
527854,2.87,Q12,7
527854,2.77,Q13,5
521299,3.5,Q1,1
521299,3.67,Q2,1
521299,2.5,Q3,6
521299,2.83,Q4,7
521299,2.67,Q5,6
521299,3.17,Q6,1
521299,3.33,Q7,3
521299,3.5,Q8,1
521299,3.33,Q9,1
521299,2.67,Q10,6
521299,2.83,Q11,1
521299,3.33,Q12,3
521299,3.33,Q13,1
527854,3.2,Q1,4
527854,2.93,Q2,7
527854,2.6,Q3,5
527854,3.13,Q4,3
527854,2.87,Q5,5
527854,2.67,Q6,5
527854,2.8,Q7,6
527854,3.4,Q8,4
527854,3.07,Q9,6
527854,2.67,Q10,6
527854,2.73,Q11,4
527854,2.87,Q12,7
527854,2.77,Q13,5
832399,2.73,Q1,7
832399,3.09,Q2,4
832399,2.36,Q3,7
832399,2.91,Q4,4
832399,2.64,Q5,7
832399,2.82,Q6,2
832399,2.55,Q7,7
832399,2.45,Q8,7
832399,2.36,Q9,7
832399,2.64,Q10,7
832399,2.36,Q11,5
832399,3,Q12,4
832399,3.09,Q13,2
287555,3.17,Q1,6
287555,3.17,Q2,3
287555,3.33,Q3,2
287555,2.83,Q4,7
287555,3.17,Q5,2
287555,2.5,Q6,7
287555,3.5,Q7,2
287555,3.17,Q8,6
287555,3.17,Q9,3
287555,4,Q10,2
287555,1.67,Q11,7
287555,3.5,Q12,2
287555,2.5,Q13,7
527854,3.2,Q1,4
527854,2.93,Q2,7
527854,2.6,Q3,5
527854,3.13,Q4,3
527854,2.87,Q5,5
527854,2.67,Q6,5
527854,2.8,Q7,6
527854,3.4,Q8,4
527854,3.07,Q9,6
527854,2.67,Q10,6
527854,2.73,Q11,4
527854,2.87,Q12,7
527854,2.77,Q13,5
