disciplina,media,questao,posicao
287555,3.17,Q1,6
287555,3.17,Q2,3
287555,3.33,Q3,2
287555,2.83,Q4,7
287555,3.17,Q5,2
287555,2.5,Q6,7
287555,3.5,Q7,2
287555,3.17,Q8,6
287555,3.17,Q9,3
287555,4,Q10,2
287555,1.67,Q11,7
287555,3.5,Q12,2
287555,2.5,Q13,7
527854,3.2,Q1,4
527854,2.93,Q2,7
527854,2.6,Q3,5
527854,3.13,Q4,3
527854,2.87,Q5,5
527854,2.67,Q6,5
527854,2.8,Q7,6
527854,3.4,Q8,4
527854,3.07,Q9,6
527854,2.67,Q10,6
527854,2.73,Q11,4
527854,2.87,Q12,7
527854,2.77,Q13,5
521299,3.5,Q1,1
521299,3.67,Q2,1
521299,2.5,Q3,6
521299,2.83,Q4,7
521299,2.67,Q5,6
521299,3.17,Q6,1
521299,3.33,Q7,3
521299,3.5,Q8,1
521299,3.33,Q9,1
521299,2.67,Q10,6
521299,2.83,Q11,1
521299,3.33,Q12,3
521299,3.33,Q13,1
527854,3.2,Q1,4
527854,2.93,Q2,7
527854,2.6,Q3,5
527854,3.13,Q4,3
527854,2.87,Q5,5
527854,2.67,Q6,5
527854,2.8,Q7,6
527854,3.4,Q8,4
527854,3.07,Q9,6
527854,2.67,Q10,6
527854,2.73,Q11,4
527854,2.87,Q12,7
527854,2.77,Q13,5
832399,2.73,Q1,7
832399,3.09,Q2,4
832399,2.36,Q3,7
832399,2.91,Q4,4
832399,2.64,Q5,7
832399,2.82,Q6,2
832399,2.55,Q7,7
832399,2.45,Q8,7
832399,2.36,Q9,7
832399,2.64,Q10,7
832399,2.36,Q11,5
832399,3,Q12,4
832399,3.09,Q13,2
287555,3.17,Q1,6
287555,3.17,Q2,3
287555,3.33,Q3,2
287555,2.83,Q4,7
287555,3.17,Q5,2
287555,2.5,Q6,7
287555,3.5,Q7,2
287555,3.17,Q8,6
287555,3.17,Q9,3
287555,4,Q10,2
287555,1.67,Q11,7
287555,3.5,Q12,2
287555,2.5,Q13,7
527854,3.2,Q1,4
527854,2.93,Q2,7
527854,2.6,Q3,5
527854,3.13,Q4,3
527854,2.87,Q5,5
527854,2.67,Q6,5
527854,2.8,Q7,6
527854,3.4,Q8,4
527854,3.07,Q9,6
527854,2.67,Q10,6
527854,2.73,Q11,4
527854,2.87,Q12,7
527854,2.77,Q13,5
desvioPositivo,1.16,DisciplinaID,0
desvioNegativo,1.16,DisciplinaID,0
desvioPositivo,1.29,Q1,0
desvioNegativo,1.29,Q1,0
desvioPositivo,1.29,Q2,0
desvioNegativo,1.29,Q2,0
desvioPositivo,1.34,Q3,0
desvioNegativo,1.34,Q3,0
desvioPositivo,1.27,Q4,0
desvioNegativo,1.27,Q4,0
desvioPositivo,1.31,Q5,0
desvioNegativo,1.31,Q5,0
desvioPositivo,1.26,Q6,0
desvioNegativo,1.26,Q6,0
desvioPositivo,1.33,Q7,0
desvioNegativo,1.33,Q7,0
desvioPositivo,1.28,Q8,0
desvioNegativo,1.28,Q8,0
desvioPositivo,1.3,Q9,0
desvioNegativo,1.3,Q9,0
desvioPositivo,1.38,Q10,0
desvioNegativo,1.38,Q10,0
desvioPositivo,1.2,Q11,0
desvioNegativo,1.2,Q11,0
desvioPositivo,1.32,Q12,0
desvioNegativo,1.32,Q12,0
desvioPositivo,1.25,Q13,0
desvioNegativo,1.25,Q13,0
desvioPositivo,0,,0
desvioNegativo,0,,0
